INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3101831879
INFO: Loaded 1 modules   (2668 inline 8-bit counters): 2668 [0x5607d6d00828, 0x5607d6d01294), 
INFO: Loaded 1 PC tables (2668 PCs): 2668 [0x5607d6d01298,0x5607d6d0b958), 
INFO:      292 files found in corpus
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: seed corpus: files: 292 min: 2b max: 74b total: 1596b rss: 32Mb
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 31
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 91
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 8
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 58
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 5
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 49
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bd 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 50
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 2
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 3
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 47
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 56
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 41
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 63
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 61
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 71
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 28
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 15624
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 16253
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 7551
b45609be 3 mongoose.c:2664:mg_log_set   Setting log level to 10236
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 511
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 11948
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 15669
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 1663
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 5598
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 15625
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 3711
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 8364
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 136
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 1151
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 15616
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 7933
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 11976
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 5754
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 16383
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 15628
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 16255
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 15741
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 8319
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 639
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 12204
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 2000432
b45609bf 3 mongoose.c:2664:mg_log_set   Setting log level to 2014764
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1535916
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 2004489
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1999880
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1999953
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 966572
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log #294	INITED cov: 73 ft: 85 corp: 8/26b exec/s: 0 rss: 37Mb
#294	DONE   cov: 73 ft: 85 corp: 8/26b lim: 6 exec/s: 0 rss: 37Mb
Done 294 runs in 0 second(s)
level to 16383
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1179644
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1015807
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1015420
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1999872
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1005309
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 1
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 0
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 71679
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 2064383
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 2004488
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 491519
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 2013898
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 64511
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 102760380
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 117440511
b45609c0 3 mongoose.c:2664:mg_log_set   Setting log level to 257905452
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 268435455
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 255989932
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 113246204
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 18874364
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 123688574
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 196607916
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 255989257
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 257949691
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 255853568
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 180198632
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 104857596
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 255989768
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 41943039
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 255983616
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 104857532
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 8388603
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 100663295
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 255990097
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 264241151
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 123692541
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to 167765372
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to -783982084
b45609c1 3 mongoose.c:2664:mg_log_set   Setting log level to -1364666814
b45609c2 3 mongoose.c:2664:mg_log_set   Setting log level to -1364699582
b45609c2 3 mongoose.c:2664:mg_log_set   Setting log level to -848625926
b45609c2 3 mongoose.c:2664:mg_log_set   Setting log level to -1609431540
b45609c2 3 mongoose.c:2664:mg_log_set   Setting log level to -1610480116
b45609c2 3 mongoose.c:2664:mg_log_set   Setting log level to -1610612736
b45609c3 3 mongoose.c:2664:mg_log_set   Setting log level to -68
b45609c3 3 mongoose.c:2664:mg_log_set   Setting log level to -37
b45609c3 3 mongoose.c:2664:mg_log_set   Setting log level to -9519105
b45609c3 3 mongoose.c:2664:mg_log_set   Setting log level to 536864124
b45609c3 3 mongoose.c:2664:mg_log_set   Setting log level to -141
b45609c4 3 mongoose.c:2664:mg_log_set   Setting log level to -2013265920
b45609c4 3 mongoose.c:2664:mg_log_set   Setting log level to -33554516
b45609c4 3 mongoose.c:2664:mg_log_set   Setting log level to -582
b45609c4 3 mongoose.c:2664:mg_log_set   Setting log level to -7389252
b45609c5 3 mongoose.c:2664:mg_log_set   Setting log level to -41943046
b45609c5 3 mongoose.c:2664:mg_log_set   Setting log level to -83886597
b45609c5 3 mongoose.c:2664:mg_log_set   Setting log level to 7294
b45609c6 3 mongoose.c:2664:mg_log_set   Setting log level to 0
