rank,score,program,function,params,param_count,return_type,is_static,line_num,reason,extraction_difficulty
1,5.0,basenc,base32_required_padding,"int len",1,int,True,178,"Mostly scalars",easy
2,5.0,basenc,base64_required_padding,"int len",1,int,True,187,"Mostly scalars",easy
3,5.0,chcon,process_file,"int * fts; int * ent",2,int,True,208,"Mostly scalars; Has mutable pointers",easy
4,5.0,chmod,process_file,"int * fts; int * ent",2,int,True,210,"Mostly scalars; Has mutable pointers",easy
5,5.0,chown-core,gid_to_name,"gid_t gid",1,char *,False,103,"Mostly scalars",easy
6,5.0,chown-core,gid_to_str,"gid_t gid",1,char *,True,91,"Mostly scalars",easy
7,5.0,chown-core,uid_to_name,"uid_t uid",1,char *,False,114,"Mostly scalars",easy
8,5.0,chown-core,uid_to_str,"uid_t uid",1,char *,True,80,"Mostly scalars",easy
9,5.0,chroot,gid_unset,"gid_t gid",1,int,True,45,"Mostly scalars",easy
10,5.0,chroot,setgroups,"int size; int gid_t",2,int,True,69,"Mostly scalars",easy
11,5.0,chroot,uid_unset,"uid_t uid",1,int,True,44,"Mostly scalars",easy
12,5.0,cksum_vmull,bswap_neon,"int in",1,int,True,30,"Mostly scalars",easy
13,5.0,copy,clone_file,"int dest_fd; int src_fd",2,int,True,493,"Mostly scalars",easy
14,5.0,copy,copy_attr,"const int * src_path; int src_fd; const int * dst_path; int dst_fd; const int * x",5,int,True,799,"Mostly scalars",easy
15,5.0,copy,errno_unsupported,"int err",1,int,True,701,"Mostly scalars",easy
16,5.0,copy,is_CLONENOTSUP,"int err",1,int,True,299,"Mostly scalars",easy
17,5.0,copy,is_terminal_error,"int err",1,int,True,289,"Mostly scalars",easy
18,5.0,copy,punch_hole,"int fd; off_t offset; off_t length",3,int,True,240,"Mostly scalars",easy
19,5.0,copy,write_zeros,"int fd; off_t n_bytes",2,int,True,508,"Mostly scalars",easy
20,5.0,csplit,find_line,"intmax_t linenum",1,struct cstring *,True,564,"Mostly scalars",easy
21,5.0,csplit,get_new_buffer,"int min_size",1,struct buffer_record *,False,405,"Mostly scalars",easy
22,5.0,csplit,interrupt_handler,"int sig",1,void,True,232,"Mostly scalars",easy
23,5.0,csplit,make_filename,"int num",1,char *,True,886,"Mostly scalars",easy
24,5.0,csplit,write_to_file,"intmax_t last_line; int ignore; int argnum",3,void,True,622,"Mostly scalars",easy
25,5.0,cut,is_range_start_index,"uintmax_t k",1,int,True,209,"Mostly scalars",easy
26,5.0,cut,next_item,"uintmax_t * item_idx",1,void,True,191,"Mostly scalars; Has mutable pointers",easy
27,5.0,cut,print_kth,"uintmax_t k",1,int,True,201,"Mostly scalars",easy
28,5.0,date,res_width,"long res",1,int,True,299,"Mostly scalars",easy
29,5.0,dd,ATTRIBUTE_FORMAT,"int __printf__",1,int,False,514,"Mostly scalars",easy
30,5.0,dd,advance_input_after_read_error,"int nbytes",1,int,True,1918,"Mostly scalars",easy
31,5.0,dd,advance_input_offset,"intmax_t offset",1,void,True,1777,"Mostly scalars",easy
32,5.0,dd,cache_round,"int fd; off_t len",2,off_t,True,1006,"Mostly scalars",easy
33,5.0,dd,iclose,"int fd",1,int,True,916,"Mostly scalars",easy
34,5.0,dd,ifdatasync,"int fd",1,int,True,1272,"Mostly scalars",easy
35,5.0,dd,ifsync,"int fd",1,int,True,1323,"Mostly scalars",easy
36,5.0,dd,iftruncate,"int fd; off_t length",2,int,True,1340,"Mostly scalars",easy
37,5.0,dd,interrupt_handler,"int sig",1,void,True,843,"Mostly scalars",easy
38,5.0,dd,invalidate_cache,"int fd; off_t len",2,int,True,1033,"Mostly scalars",easy
39,5.0,dd,multiple_bits_set,"int i",1,int,True,720,"Mostly scalars",easy
40,5.0,dd,print_xfer_stats,"int progress_time",1,void,True,734,"Mostly scalars",easy
41,5.0,dd,quit,"int code",1,void,True,994,"Mostly scalars",easy
42,5.0,dd,siginfo_handler,"int sig",1,void,True,853,"Mostly scalars",easy
43,5.0,dd,static_assert,"int",1,int,False,324,"Mostly scalars",easy
44,5.0,dd,static_assert,"int",1,int,False,325,"Mostly scalars",easy
45,5.0,dd,static_assert,"int",1,int,False,326,"Mostly scalars",easy
46,5.0,dd,static_assert,"int",1,int,False,327,"Mostly scalars",easy
47,5.0,dd,static_assert,"int",1,int,False,328,"Mostly scalars",easy
48,5.0,df,add_uint_with_neg_flag,"uintmax_t * dest; int * dest_neg; uintmax_t src; int src_neg",4,void,True,892,"Mostly scalars; Has mutable pointers",easy
49,5.0,df,filter_mount_list,"int devices_only",1,void,True,710,"Mostly scalars",easy
50,5.0,df,known_value,"uintmax_t n",1,int,True,859,"Mostly scalars",easy
51,5.0,dircolors,static_assert,"int",1,int,False,70,"Mostly scalars",easy
52,5.0,du,mount_point_in_fts_cycle,"const int * ent",1,int,True,437,"Mostly scalars",easy
53,5.0,du,print_only_size,"uintmax_t n_bytes",1,void,True,372,"Mostly scalars",easy
54,5.0,du,process_file,"int * fts; int * ent",2,int,True,470,"Mostly scalars; Has mutable pointers",easy
55,5.0,echo,hextobin,"unsigned char c",1,int,True,94,"Mostly scalars",easy
56,5.0,expr,eval,"int evaluate",1,VALUE *,True,973,"Mostly scalars",easy
57,5.0,expr,eval1,"int evaluate",1,VALUE *,True,942,"Mostly scalars",easy
58,5.0,expr,eval2,"int evaluate",1,VALUE *,True,864,"Mostly scalars",easy
59,5.0,expr,eval3,"int evaluate",1,VALUE *,True,832,"Mostly scalars",easy
60,5.0,expr,eval4,"int evaluate",1,VALUE *,True,793,"Mostly scalars",easy
61,5.0,expr,eval5,"int evaluate",1,VALUE *,True,762,"Mostly scalars",easy
62,5.0,expr,eval6,"int evaluate",1,VALUE *,True,679,"Mostly scalars",easy
63,5.0,expr,eval7,"int evaluate",1,VALUE *,True,649,"Mostly scalars",easy
64,5.0,expr,int_value,"unsigned long i",1,VALUE *,True,352,"Mostly scalars",easy
65,5.0,expr,static_assert,"int",1,int,False,46,"Mostly scalars",easy
66,5.0,factor,hi,"uuint u",1,uintmax_t,True,220,"Mostly scalars",easy
67,5.0,factor,hiset,"uuint * u; uintmax_t hi",2,void,True,221,"Mostly scalars; Has mutable pointers",easy
68,5.0,factor,lbuf_putint,"uintmax_t i",1,void,True,2418,"Mostly scalars",easy
69,5.0,factor,lo,"uuint u",1,uintmax_t,True,219,"Mostly scalars",easy
70,5.0,factor,make_uuint,"uintmax_t hi; uintmax_t lo",2,uuint,True,229,"Mostly scalars",easy
71,5.0,factor,mulredc,"uintmax_t a; uintmax_t b; uintmax_t m; uintmax_t mi",4,uintmax_t,True,952,"Mostly scalars",easy
72,5.0,factor,print_factors_single,"uintmax_t t1; uintmax_t t0",2,void,True,2474,"Mostly scalars",easy
73,5.0,factor,print_uuint,"uuint t",1,void,True,2425,"Mostly scalars",easy
74,5.0,factor,uuset,"uintmax_t * phi; uintmax_t * plo; uuint uu",3,void,True,223,"Mostly scalars; Has mutable pointers",easy
75,5.0,fmt,put_space,"int space",1,void,True,169,"Mostly scalars",easy
76,5.0,fmt,put_space,"int space",1,void,True,1026,"Mostly scalars",easy
77,5.0,fmt,same_para,"int c",1,int,True,160,"Mostly scalars",easy
78,5.0,fmt,same_para,"int c",1,int,True,659,"Mostly scalars",easy
79,5.0,fmt,set_other_indent,"int same_paragraph",1,void,True,509,"Mostly scalars",easy
80,5.0,getlimits,print_DBL,"double x",1,void,True,111,"Mostly scalars",easy
81,5.0,getlimits,print_FLT,"float x",1,void,True,110,"Mostly scalars",easy
82,5.0,getlimits,print_LDBL,"long double x",1,void,True,112,"Mostly scalars",easy
83,5.0,group-list,print_group,"gid_t gid; int use_name",2,int,False,91,"Mostly scalars",easy
84,5.0,head,copy_fd,"int src_fd; uintmax_t n_bytes",2,enum Copy_fd_status,True,194,"Mostly scalars",easy
85,5.0,id,print_user,"uid_t uid",1,void,True,69,"Mostly scalars",easy
86,5.0,id,print_user,"uid_t uid",1,void,True,309,"Mostly scalars",easy
87,5.0,install,extra_mode,"mode_t input",1,int,True,159,"Mostly scalars",easy
88,5.0,install,have_same_content,"int a_fd; int b_fd",2,int,True,139,"Mostly scalars",easy
89,5.0,iopoll,fclose_wait,"int * f",1,int,False,207,"Mostly scalars; Has mutable pointers",easy
90,5.0,iopoll,fwait_for_nonblocking_write,"int * f",1,int,True,180,"Mostly scalars; Has mutable pointers",easy
91,5.0,iopoll,iopoll,"int fdin; int fdout; int block",3,int,False,139,"Mostly scalars",easy
92,5.0,iopoll,iopoll_input_ok,"int fdin",1,int,False,151,"Mostly scalars",easy
93,5.0,iopoll,iopoll_internal,"int fdin; int fdout; int block; int broken_output",4,int,True,62,"Mostly scalars",easy
94,5.0,iopoll,iopoll_output_ok,"int fdout",1,int,False,164,"Mostly scalars",easy
95,5.0,join,add_field,"int file; int field",2,void,True,822,"Mostly scalars",easy
96,5.0,join,comma_or_blank,"int g",1,int,True,894,"Mostly scalars",easy
