rank,score,program,function,extraction_status,build_status,stage_a_status,stage_b_status,fuzz_seconds,corpus_size,branches_total,branches_covered,branch_pct,lines_total,lines_executed,line_pct,exec_per_sec,total_execs,coverage_blocks
1,5,basenc,base32_required_padding,CACHED,OK,OK,OK,2,7,2,2,100.00%,4,4,100.00%,,947911,DONE
2,5,basenc,base64_required_padding,CACHED,OK,OK,OK,2,5,2,2,100.00%,4,4,100.00%,,793317,DONE
3,5,chcon,process_file,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
4,5,chmod,process_file,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
5,5,chown-core,gid_to_name,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
6,5,chown-core,gid_to_str,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
7,5,chown-core,uid_to_name,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
8,5,chown-core,uid_to_str,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
9,5,chroot,gid_unset,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
10,5,chroot,setgroups,CACHED,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
11,5,chroot,uid_unset,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
12,5,cksum_vmull,bswap_neon,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
13,5,copy,clone_file,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
14,5,copy,copy_attr,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
15,5,copy,errno_unsupported,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
16,5,copy,is_CLONENOTSUP,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
17,5,copy,is_terminal_error,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
18,5,copy,punch_hole,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
19,5,copy,write_zeros,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
20,5,csplit,find_line,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
21,5,csplit,get_new_buffer,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
22,5,csplit,interrupt_handler,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
23,5,csplit,make_filename,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
24,5,csplit,write_to_file,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
25,5,cut,is_range_start_index,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
26,5,cut,next_item,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
27,5,cut,print_kth,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
28,5,date,res_width,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
29,5,dd,ATTRIBUTE_FORMAT,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
30,5,dd,advance_input_after_read_error,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
31,5,dd,advance_input_offset,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
32,5,dd,cache_round,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
33,5,dd,iclose,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
34,5,dd,ifdatasync,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
35,5,dd,ifsync,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
36,5,dd,iftruncate,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
37,5,dd,interrupt_handler,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
38,5,dd,invalidate_cache,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
39,5,dd,multiple_bits_set,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
40,5,dd,print_xfer_stats,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
41,5,dd,quit,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
42,5,dd,siginfo_handler,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
43,5,dd,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
44,5,dd,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
45,5,dd,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
46,5,dd,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
47,5,dd,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
48,5,df,add_uint_with_neg_flag,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
49,5,df,filter_mount_list,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
50,5,df,known_value,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
51,5,dircolors,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
52,5,du,mount_point_in_fts_cycle,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
53,5,du,print_only_size,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
54,5,du,process_file,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
55,5,echo,hextobin,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
56,5,expr,eval,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
57,5,expr,eval1,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
58,5,expr,eval2,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
59,5,expr,eval3,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
60,5,expr,eval4,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
61,5,expr,eval5,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
62,5,expr,eval6,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
63,5,expr,eval7,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
64,5,expr,int_value,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
65,5,expr,static_assert,FAIL,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
66,5,factor,hi,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
67,5,factor,hiset,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
68,5,factor,lbuf_putint,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
69,5,factor,lo,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
70,5,factor,make_uuint,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
71,5,factor,mulredc,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
72,5,factor,print_factors_single,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
73,5,factor,print_uuint,OK,FAIL,SKIP,SKIP,1,0,0,0,0.0%,0,0,0.0%,0,0,0
