rank,function,fuzz_seconds,build_status,stage_a_status,stage_b_status,corpus_size,branches_total,branches_covered,branch_pct,lines_total,lines_executed,line_pct,exec_per_sec,total_execs,coverage_blocks
1,base32_required_padding,2,OK,OK,OK,7,2,2,100.00%,4,4,100.00%,,947911,DONE
2,base64_required_padding,2,OK,OK,OK,5,2,2,100.00%,4,4,100.00%,,793317,DONE
3,process_file,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
4,process_file,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
5,gid_to_name,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
6,gid_to_str,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
7,uid_to_name,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
8,uid_to_str,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
9,gid_unset,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
10,setgroups,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
11,uid_unset,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
12,bswap_neon,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
13,clone_file,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
14,copy_attr,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
15,errno_unsupported,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
16,is_CLONENOTSUP,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
17,is_terminal_error,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
18,punch_hole,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
19,write_zeros,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
20,find_line,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
21,get_new_buffer,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
22,interrupt_handler,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
23,make_filename,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
24,write_to_file,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
25,is_range_start_index,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
26,next_item,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
27,print_kth,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
28,res_width,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
29,ATTRIBUTE_FORMAT,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
30,advance_input_after_read_error,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
31,advance_input_offset,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
32,cache_round,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
33,iclose,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
34,ifdatasync,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
35,ifsync,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
36,iftruncate,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
37,interrupt_handler,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
38,invalidate_cache,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
39,multiple_bits_set,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
40,print_xfer_stats,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
41,quit,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
42,siginfo_handler,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
43,static_assert,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
44,static_assert,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
45,static_assert,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
46,static_assert,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
47,static_assert,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
48,add_uint_with_neg_flag,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
49,filter_mount_list,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
50,known_value,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
51,static_assert,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
52,mount_point_in_fts_cycle,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
53,print_only_size,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
54,process_file,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
55,hextobin,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
56,eval,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
57,eval1,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
58,eval2,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
59,eval3,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
60,eval4,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
61,eval5,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
62,eval6,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
63,eval7,1,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
