rank,name,score,return_type,param_count,params,reasons
1,LogL10toY,5.0,double,1,int,Scalar-heavy signature
2,LogL16toY,5.0,double,1,int,Scalar-heavy signature
3,TIFFDataWidth,5.0,int,1,TIFFDataType,Scalar-heavy signature
4,TIFFFindCODEC,5.0,const TIFFCodec*,1,uint16,Scalar-heavy signature
5,TIFFGetBitRevTable,5.0,const unsigned char*,1,int,Scalar-heavy signature
6,TIFFIsCODECConfigured,5.0,int,1,uint16,Scalar-heavy signature
7,_TIFFmalloc,5.0,void*,1,tmsize_t s,Scalar-heavy signature
8,LogL10fromY,5.0,int,2,double | int,Scalar-heavy signature
9,LogL16fromY,5.0,int,2,double | int,Scalar-heavy signature
10,uv_encode,5.0,int,3,double | double | int,Scalar-heavy signature
11,TIFFReverseBits,4.5,void,2,uint8* cp | tmsize_t n,String/buffer pointer
12,TIFFSwabArrayOfTriples,4.5,void,2,uint8* tp | tmsize_t n,String/buffer pointer
13,TIFFGetConfiguredCODECs,4.0,TIFFCodec*,0,,No parameters (easy harness)
14,TIFFGetVersion,4.0,const char*,0,,No parameters (easy harness)
15,TIFFFieldDataType,4.0,TIFFDataType,1,const TIFFField*,Raw pointer
16,TIFFFieldName,4.0,const char*,1,const TIFFField*,Raw pointer
17,TIFFFieldPassCount,4.0,int,1,const TIFFField*,Raw pointer
18,TIFFFieldReadCount,4.0,int,1,const TIFFField*,Raw pointer
19,TIFFFieldTag,4.0,uint32,1,const TIFFField*,Raw pointer
20,TIFFFieldWriteCount,4.0,int,1,const TIFFField*,Raw pointer
21,TIFFSwabDouble,4.0,void,1,double*,Raw pointer
22,TIFFSwabFloat,4.0,void,1,float*,Raw pointer
23,TIFFSwabLong,4.0,void,1,uint32*,Raw pointer
24,TIFFSwabLong8,4.0,void,1,uint64*,Raw pointer
25,TIFFSwabShort,4.0,void,1,uint16*,Raw pointer
26,TIFFUnRegisterCODEC,4.0,void,1,TIFFCodec*,Raw pointer
27,_TIFFfree,4.0,void,1,void* p,Raw pointer
28,LogLuv24fromXYZ,4.0,uint32,2,float* | int,Raw pointer
29,LogLuv24toXYZ,4.0,void,2,uint32 | float*,Raw pointer
30,LogLuv32fromXYZ,4.0,uint32,2,float* | int,Raw pointer
31,LogLuv32toXYZ,4.0,void,2,uint32 | float*,Raw pointer
32,TIFFOpen,4.0,TIFF*,2,const char* | const char*,String/buffer pointer
33,TIFFOpenW,4.0,TIFF*,2,const wchar_t* | const char*,String/buffer pointer
34,TIFFSwabArrayOfDouble,4.0,void,2,double* dp | tmsize_t n,Raw pointer
35,TIFFSwabArrayOfFloat,4.0,void,2,float* fp | tmsize_t n,Raw pointer
36,TIFFSwabArrayOfLong,4.0,void,2,uint32* lp | tmsize_t n,Raw pointer
37,TIFFSwabArrayOfLong8,4.0,void,2,uint64* lp | tmsize_t n,Raw pointer
38,TIFFSwabArrayOfShort,4.0,void,2,uint16* wp | tmsize_t n,Raw pointer
39,_TIFFrealloc,4.0,void*,2,void* p | tmsize_t s,Raw pointer
40,TIFFFdOpen,4.0,TIFF*,3,int | const char* | const char*,String/buffer pointer
41,TIFFRegisterCODEC,4.0,TIFFCodec*,3,uint16 | const char* | TIFFInitMethod,String/buffer pointer; Custom scalar type
42,_TIFFmemset,4.0,void,3,void* p | int v | tmsize_t c,Raw pointer
43,XYZtoRGB24,3.5,void,2,float* | uint8*,Raw pointer; String/buffer pointer
44,TIFFCheckpointDirectory,3.0,int,1,TIFF *,Requires TIFF* handle
45,TIFFCleanup,3.0,void,1,TIFF* tif,Requires TIFF* handle
46,TIFFClientdata,3.0,thandle_t,1,TIFF*,Requires TIFF* handle
47,TIFFClose,3.0,void,1,TIFF* tif,Requires TIFF* handle
48,TIFFCreateDirectory,3.0,int,1,TIFF*,Requires TIFF* handle
49,TIFFCreateEXIFDirectory,3.0,int,1,TIFF*,Requires TIFF* handle
50,TIFFCurrentDirOffset,3.0,uint64,1,TIFF*,Requires TIFF* handle
51,TIFFCurrentDirectory,3.0,uint16,1,TIFF*,Requires TIFF* handle
52,TIFFCurrentRow,3.0,uint32,1,TIFF*,Requires TIFF* handle
53,TIFFCurrentStrip,3.0,uint32,1,TIFF*,Requires TIFF* handle
54,TIFFCurrentTile,3.0,uint32,1,TIFF* tif,Requires TIFF* handle
55,TIFFFileName,3.0,const char*,1,TIFF*,Requires TIFF* handle
