rank,function,fuzz_seconds,build_status,stage_a_status,stage_b_status,corpus_size,branches_total,branches_covered,branch_pct,lines_total,lines_executed,line_pct,exec_per_sec,total_execs,coverage_blocks
1,mg_log_set,122,OK,OK,OK,292,2,2,100.00%,4,4,100.00%,mongoose.c:2664:mg_log_set,30649106,3
2,mg_ntohl,122,OK,OK,OK,1,0,0,0.00%,6,6,100.00%,cov:,48468072,DONE
3,mg_ntohs,122,OK,OK,OK,1,0,0,0.00%,5,5,100.00%,cov:,46237884,DONE
4,mg_timer_expired,121,OK,OK,OK,240,8,6,75.00%,7,7,100.00%,cov:,38083357,DONE
5,mg_base64_update,1,OK,CRASH,OK,4,4,4,100.00%,15,15,100.00%,cov:,603,NEW
6,mg_crc32,1,OK,CRASH,OK,8,2,2,100.00%,13,13,100.00%,cov:,1545,REDUCE
7,mg_mqtt_parse,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
8,mg_url_decode,0,OK,CRASH,OK,68,22,14,63.64%,19,12,63.16%,cov:,8193,NEW
9,mg_base64_final,1,OK,CRASH,OK,3,6,6,100.00%,8,8,100.00%,cov:,189,NEW
10,mg_check_ip_acl,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
11,mg_http_get_request_len,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
12,mg_md5_final,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
13,mg_sha1_final,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
14,mg_sntp_parse,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
15,mg_str_n,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
16,mg_unhexn,1,OK,CRASH,OK,9,2,2,100.00%,5,5,100.00%,cov:,767,NEW
17,mg_dns_parse,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
18,mg_iobuf_del,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
19,mg_iobuf_init,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
20,mg_ws_wrap,120,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
21,mg_globmatch,70,OK,TIMEOUT,OK,208,0,0,0.00%,3,3,100.00%,cov:,42007,REDUCE
22,mg_url_encode,0,OK,CRASH,OK,6,12,6,50.00%,17,7,41.18%,cov:,142,NEW
23,mg_log_prefix,62,OK,OK,OK,193,10,10,100.00%,16,16,100.00%,cov:,12848274,NEW
24,mg_base64_decode,61,OK,OK,OK,202,22,20,90.91%,17,17,100.00%,cov:,17023861,DONE
25,mg_base64_encode,60,FAIL,SKIP,SKIP,0,0,0,0.0%,0,0,0.0%,0,0,0
