c62c64f00567c5368cae37f4e64e1e82ff785677:match	RC(norm=0, ref=0)
seed_publish_valid.bin:match	RC(norm=1, ref=1)
seed_subscribe_valid.bin:match	RC(norm=1, ref=1)
seed_v1_0.bin:match	RC(norm=1, ref=1)
seed_v1_1.bin:match	RC(norm=1, ref=1)
seed_v1_2.bin:match	RC(norm=1, ref=1)
seed_v1_3.bin:match	RC(norm=1, ref=1)
seed_v1_4.bin:match	RC(norm=1, ref=1)
seed_v2_5.bin:match	RC(norm=1, ref=1)
seed_v2_6.bin:match	RC(norm=1, ref=1)
seed_v2_7.bin:match	RC(norm=1, ref=1)
seed_v2_8.bin:match	RC(norm=1, ref=1)
seed_v2_9.bin:match	RC(norm=1, ref=1)
